CNTR_ID,class,distur_1,area_ha
BA,1,2,31671.00678783322
BA,1,2,3407.9064102849125
BA,1,2,76.91481674391935
BA,2,0,195.4976408565169
BA,2,0,0.5238403614573768
BA,2,0,0.0390347249508923
BA,2,1,2.725214079088304
BA,2,2,45.52609159016427
BA,2,2,0.0080357802842716
BA,3,0,93.1143801982021
BA,3,0,6.413725840389271
BA,3,0,24.58561066882952
BA,3,1,60.44249381966012
BA,3,1,1.210955723404956
BA,3,1,2.905601861787681
BA,3,2,280.7641747153738
BA,3,2,2.985295174181967
BA,3,2,3.3017201424879663
BA,4,0,23.10006906339296
BA,4,1,24.85212805177847
BA,4,1,0.0237184853414073
BA,4,1,0.0194059187846168
BA,4,2,7.859358254810043
BA,4,2,0.0023995593254288
BA,4,2,0.1049478009477914
BA,5,0,4.699845513675147
BA,5,0,0.0059039440916034
BA,5,0,0.0594862811396314
BA,5,1,13.269017532403485
BA,5,2,1.837434777806196
BA,6,0,8141.101596857157
BA,6,0,541.2590521541209
BA,6,0,72.35244229316827
BA,6,1,23.728994973334277
BA,6,1,2.733842800645574
BA,6,1,0.0197835769876717
BA,6,2,72.20518681727083
BA,6,2,2.0885294798142384
BA,6,2,0.868180102423555
BE,0,-1,10443.462532392095
BE,0,-1,2210811.4445368825
BE,0,-1,604404.8161945706
BE,0,-1,228454.49765050088
BE,1,0,363.1213891033448
BE,1,0,37.30546464029324
BE,1,0,0.6930298727082149
BE,1,1,324.8485407166958
BE,1,1,34.39966369660124
BE,1,1,1.0232254360387836
BE,1,2,5884.67339202757
BE,1,2,420.0324727466127
BE,1,2,5.13494985438161
BE,2,0,6563.767047755517
BE,2,0,652.3719832576373
BE,2,0,105.39681011943829
BE,2,1,351.0201962952761
BE,2,1,49.70368064173771
BE,2,1,12.764055562556493
BE,2,2,793.0732430687925
BE,2,2,22.978887335445418
BE,2,2,3.3659747223036893
BE,3,0,300.75672817581074
BE,3,0,6.524635466917353
BE,3,0,0.1854383623929311
BE,3,1,368.7065071737045
BE,3,1,24.78416441783327
BE,3,1,0.5759747323838872
BE,3,2,1904.3347293385675
BE,3,2,45.03852859265648
BE,3,2,2.95920746091336
BE,4,1,0.1694891509131927
BE,4,2,17.855462811950165
BE,4,2,0.15880846128229
BE,4,2,0.0227864706848983
BE,5,0,117.2245746147402
BE,5,0,4175.482770474362
BE,5,0,0.0482803768430637
BE,5,0,0.0011584692862816
BE,5,1,878.9559310767854
BE,5,1,0.1830778993784499
BE,5,2,274.6815880661994
BE,5,2,4.18231725124132
BE,5,2,0.3739684114159389
BE,6,0,2609.484718223698
BE,6,0,531.1328130334128
BE,6,0,14.45334595365409
BE,6,1,334.64652140584417
BE,6,1,198.895807086104
BE,6,1,2.384933987065377
BE,6,2,371.5648378602709
BE,6,2,41.90083034132461
BE,6,2,0.51942426331844
BG,0,-1,56842.73770218861
BG,0,-1,6239959.413466564
BG,0,-1,3906736.3648435073
BG,0,-1,882960.9070048298
BG,1,0,5245.673440646736
BG,1,0,449.094640764266
BG,1,0,21.81323945307629
BG,1,1,0.0078088506566317
BG,1,1,4919.144776148606
BG,1,1,580.080774000586
BG,1,1,37.33291004122531
BG,1,2,0.0492754891393741
BG,1,2,43694.50958700333
BG,1,2,2066.225684873192
BG,1,2,72.37299316341458
BG,2,0,31.152363323774253
BG,2,0,0.4159048971339453
BG,2,0,0.0621426134038202
BG,2,1,9.381037902817464
BG,2,1,0.1234203746789634
BG,2,1,0.0011332924591093
BG,2,2,9.196040325817949
BG,2,2,0.0742473493713891
BG,2,2,0.0067595942048634
BG,3,0,354.60887758973644
BG,3,0,1.917765773920604
BG,3,0,3.6947146798643313
BG,3,1,378.874775195095
BG,3,1,1.9838536276272416
BG,3,1,2.4854024012762346
BG,3,2,753.5276083312451
BG,3,2,5.583524924374845
BG,3,2,1.1455825887692022
BG,4,0,0.0299098501592644
BG,4,0,827.9270695314133
BG,4,0,1.7194316848228104
BG,4,0,0.5797083152992258
BG,4,1,533.7880232749488
BG,4,1,0.3633445185808366
BG,4,1,0.2207613297142858
BG,4,2,520.7696741917374
BG,4,2,3.185724623116939
BG,4,2,1.1999119335865127
BG,5,0,4.715583133147716
BG,5,1,4.761822596871351
BG,5,2,0.0689209907702586
BG,6,0,19238.82935812427
BG,6,0,549.9286277060559
BG,6,0,129.09872022858275
BG,6,1,17.641833558176973
BG,6,1,0.4178588433779802
BG,6,1,0.2049035732817284
BG,6,2,148.48856586569656
BG,6,2,3.123301572401626
BG,6,2,0.6462077459965337
CH,0,-1,53.8811684598002
CH,0,-1,2403878.7238688283
CH,0,-1,637088.3455863724
CH,0,-1,624722.9097857679
CH,1,0,858.3555164128077
CH,1,0,61.07092757433789
CH,1,0,6.728491708912962
CH,1,1,476.7990708692834
CH,1,1,40.13801997626001
CH,1,1,5.582703725148454
CH,1,2,0.0030171101020108
CH,1,2,6297.726137944308
CH,1,2,69.11802045154656
CH,1,2,9.30819885822246
CH,2,0,104.00273673136698
CH,2,0,3.689288371647913
CH,2,0,0.5491526102715532
CH,2,1,44.39336772789445
CH,2,1,2.194221026813326
CH,2,1,0.2432560310443125
CH,2,2,121.32291127085512
CH,2,2,1.1128589756380287
CH,2,2,0.5384312048217834
CH,6,0,0.0007542775255115
CH,6,0,269275.8966925679
CH,6,0,52707.59160677988
CH,6,0,60955.84831895478
CH,6,1,9114.87309782759
CH,6,1,4277.446762351833
CH,6,1,5408.99293481983
CH,6,2,48538.1059823878
CH,6,2,3782.693657515166
CH,6,2,1738.3871361567676
CY,0,-1,111504.44283492952
CY,0,-1,722254.7820514621
CY,0,-1,49953.61369454226
CY,0,-1,169806.70097092603
CY,1,0,18.193687676802107
CY,1,0,0.1322568420019378
CY,1,0,1.0679359112914866
CY,1,1,3.760222184385415
CY,1,1,0.1912037997070011
CY,1,1,0.1703523327865855
CY,1,2,1.4795026491918524
CY,1,2,0.0045633706513315
CY,1,2,0.0072398783771427
CY,2,0,0.6222485635443957
CY,2,0,0.074304918293329
CY,2,0,0.0611627222495156
CY,2,1,0.6408304594538378
CY,2,1,0.0566620563417541
CY,2,2,0.99739899334517
CY,3,0,1903.9631814201668
CY,3,0,7.319205281177399
CY,3,0,26.380638680273773
CY,3,1,339.3851474021479
CY,3,1,1.3542651597467912
CY,3,1,9.907164049653
CY,3,2,131.73827434049497
CY,3,2,2.084858416043133
CY,3,2,0.3657670878929774
CY,4,0,2.5335870082321184
CY,4,1,0.7204873206597513
CY,4,2,0.0858467522338686
CY,5,0,0.3788581020494321
CY,5,0,29.54471396875408
CY,5,1,38.01215673697697
CY,5,2,1.6608612118718145
CZ,0,-1,62.42727737314576
CZ,0,-1,4793121.021514658
CZ,0,-1,1229310.8251720346
